Id;fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol
0;7,4;0,7;0;1,9;0,076;11;34;0,9978;3,51;0,56;9,4
1;7,8;0,88;0;2,6;0,098;25;67;0,9968;3,2;0,68;9,8
2;7,8;0,76;0,04;2,3;0,092;15;54;0,997;3,26;0,65;9,8
3;11,2;0,28;0,56;1,9;0,075;17;60;0,998;3,16;0,58;9,8
4;7,4;0,7;0;1,9;0,076;11;34;0,9978;3,51;0,56;9,4
5;7,4;0,66;0;1,8;0,075;13;40;0,9978;3,51;0,56;9,4
6;7,9;0,6;0,06;1,6;0,069;15;59;0,9964;3,3;0,46;9,4
7;7,3;0,65;0;1,2;0,065;15;21;0,9946;3,39;0,47;10
8;7,8;0,58;0,02;2;0,073;9;18;0,9968;3,36;0,57;9,5
10;6,7;0,58;0,08;1,8;0,097;15;65;0,9959;3,28;0,54;9,2
12;5,6;0,615;0;1,6;0,089;16;59;0,9943;3,58;0,52;9,9
13;7,8;0,61;0,29;1,6;0,114;9;29;0,9974;3,26;1,56;9,1
16;8,5;0,28;0,56;1,8;0,092;35;103;0,9969;3,3;0,75;10,5
19;7,9;0,32;0,51;1,8;0,341;17;56;0,9969;3,04;1,08;9,2
21;7,6;0,39;0,31;2,3;0,082;23;71;0,9982;3,52;0,65;9,7
22;7,9;0,43;0,21;1,6;0,106;10;37;0,9966;3,17;0,91;9,5
23;8,5;0,49;0,11;2,3;0,084;9;67;0,9968;3,17;0,53;9,4
24;6,9;0,4;0,14;2,4;0,085;21;40;0,9968;3,43;0,63;9,7
25;6,3;0,39;0,16;1,4;0,08;11;23;0,9955;3,34;0,56;9,3
26;7,6;0,41;0,24;1,8;0,08;4;11;0,9962;3,28;0,59;9,5
28;7,1;0,71;0;1,9;0,08;14;35;0,9972;3,47;0,55;9,4
29;7,8;0,645;0;2;0,082;8;16;0,9964;3,38;0,59;9,8
30;6,7;0,675;0,07;2,4;0,089;17;82;0,9958;3,35;0,54;10,1
32;8,3;0,655;0,12;2,3;0,083;15;113;0,9966;3,17;0,66;9,8
34;5,2;0,32;0,25;1,8;0,103;13;50;0,9957;3,38;0,55;9,2
35;7,8;0,645;0;5,5;0,086;5;18;0,9986;3,4;0,55;9,6
36;7,8;0,6;0,14;2,4;0,086;3;15;0,9975;3,42;0,6;10,8
37;8,1;0,38;0,28;2,1;0,066;13;30;0,9968;3,23;0,73;9,7
40;7,3;0,45;0,36;5,9;0,074;12;87;0,9978;3,33;0,83;10,5
41;8,8;0,61;0,3;2,8;0,088;17;46;0,9976;3,26;0,51;9,3
42;7,5;0,49;0,2;2,6;0,332;8;14;0,9968;3,21;0,9;10,5
43;8,1;0,66;0,22;2,2;0,069;9;23;0,9968;3,3;1,2;10,3
45;4,6;0,52;0,15;2,1;0,054;8;65;0,9934;3,9;0,56;13,1
46;7,7;0,935;0,43;2,2;0,114;22;114;0,997;3,25;0,73;9,2
50;8,8;0,66;0,26;1,7;0,074;4;23;0,9971;3,15;0,74;9,2
51;6,6;0,52;0,04;2,2;0,069;8;15;0,9956;3,4;0,63;9,4
52;6,6;0,5;0,04;2,1;0,068;6;14;0,9955;3,39;0,64;9,4
53;8,6;0,38;0,36;3;0,081;30;119;0,997;3,2;0,56;9,4
54;7,6;0,51;0,15;2,8;0,11;33;73;0,9955;3,17;0,63;10,2
56;10,2;0,42;0,57;3,4;0,07;4;10;0,9971;3,04;0,63;9,6
58;7,8;0,59;0,18;2,3;0,076;17;54;0,9975;3,43;0,59;10
59;7,3;0,39;0,31;2,4;0,074;9;46;0,9962;3,41;0,54;9,4
60;8,8;0,4;0,4;2,2;0,079;19;52;0,998;3,44;0,64;9,2
61;7,7;0,69;0,49;1,8;0,115;20;112;0,9968;3,21;0,71;9,3
